code;name;code_system;value_set
1,68454E+16;History of cerebral aneurysm;http://snomed.info/sct;SNOMED-CT
428267002;History of cerebral hemorrhage;http://snomed.info/sct;SNOMED-CT
275526006;History of cerebrovascular accident;http://snomed.info/sct;SNOMED-CT
1,68969E+16;History of cerebrovascular accident due to ischemia;http://snomed.info/sct;SNOMED-CT
699429007;History of cerebrovascular accident in last eight weeks;http://snomed.info/sct;SNOMED-CT
440140008;History of cerebrovascular accident with residual deficit;http://snomed.info/sct;SNOMED-CT
429993008;History of cerebrovascular accident without residual deficits;http://snomed.info/sct;SNOMED-CT
308064009;History of cerebrovascular disease;http://snomed.info/sct;SNOMED-CT
1,60894E+16;History of chest pain;http://snomed.info/sct;SNOMED-CT
2,88411E+14;History of child sexual abuse;http://snomed.info/sct;SNOMED-CT
4,3991E+13;History of childhood obesity;http://snomed.info/sct;SNOMED-CT
472954000;History of chlamydial infection;http://snomed.info/sct;SNOMED-CT
7,3711E+13;History of cholangiocarcinoma;http://snomed.info/sct;SNOMED-CT
1,62168E+16;History of cholestasis in pregnancy;http://snomed.info/sct;SNOMED-CT
428978004;History of choriocarcinoma of placenta;http://snomed.info/sct;SNOMED-CT
1,60988E+16;History of choroiditis;http://snomed.info/sct;SNOMED-CT
