code;name;code_system;value_set
439750006;Family history of hearing loss;http://snomed.info/sct;SNOMED-CT
429959009;Family history of heart failure;http://snomed.info/sct;SNOMED-CT
309631001;Family history of helminth infection;http://snomed.info/sct;SNOMED-CT
138081000119104;Family history of hematuria;http://snomed.info/sct;SNOMED-CT
401119001;Family history of hemochromatosis;http://snomed.info/sct;SNOMED-CT
64501000119109;Family history of hemoglobinopathy;http://snomed.info/sct;SNOMED-CT
64391000119106;Family history of hemoglobinopathy E;http://snomed.info/sct;SNOMED-CT
429962007;Family history of hereditary disease;http://snomed.info/sct;SNOMED-CT
1098871000119109;Family history of hereditary nonpolyposis colon cancer;http://snomed.info/sct;SNOMED-CT
81651000119109;Family history of heritable malignancy;http://snomed.info/sct;SNOMED-CT
433495007;Family history of Hodgkin's disease;http://snomed.info/sct;SNOMED-CT
438998000;Family history of human immunodeficiency virus infection;http://snomed.info/sct;SNOMED-CT
71261000119101;Family history of hydronephrosis;http://snomed.info/sct;SNOMED-CT
74131000119101;Family history of hyperbetalipoproteinemia;http://snomed.info/sct;SNOMED-CT
130771000119102;Family history of hypercoagulable state;http://snomed.info/sct;SNOMED-CT
725117008;Family history of hyperlipidemia;http://snomed.info/sct;SNOMED-CT
109331000119100;Family history of hyperlipoproteinemia a;http://snomed.info/sct;SNOMED-CT
430089002;Family history of hyperthyroidism;http://snomed.info/sct;SNOMED-CT
275939003;Family history of hypertriglyceridemia;http://snomed.info/sct;SNOMED-CT
74171000119103;Family history of hypoalphalipoproteinemia;http://snomed.info/sct;SNOMED-CT
71201000119102;Family history of hypospadias;http://snomed.info/sct;SNOMED-CT
429971003;Family history of impaired glucose tolerance;http://snomed.info/sct;SNOMED-CT
160279000;Family history of infectious disease;http://snomed.info/sct;SNOMED-CT
763598005;Family history of intellectual disability;http://snomed.info/sct;SNOMED-CT
430088005;Family history of intestinal obstruction;http://snomed.info/sct;SNOMED-CT
429964008;Family history of irritable colon;http://snomed.info/sct;SNOMED-CT
297242006;Family history of ischemic heart disease;http://snomed.info/sct;SNOMED-CT
430696004;Family history of juvenile idiopathic arthritis;http://snomed.info/sct;SNOMED-CT
289916006;Family history of kidney disease;http://snomed.info/sct;SNOMED-CT
275102003;Family history of learning disability;http://snomed.info/sct;SNOMED-CT
160292002;Family history of leukemia;http://snomed.info/sct;SNOMED-CT
700192006;Family history of long QT syndrome;http://snomed.info/sct;SNOMED-CT
433164007;Family history of lupus erythematosus;http://snomed.info/sct;SNOMED-CT
94741000119104;Family history of macrocephaly;http://snomed.info/sct;SNOMED-CT
297245008;Family history of male genital tract disorder;http://snomed.info/sct;SNOMED-CT
1149514007;Family history of malignant epithelial neoplasm;http://snomed.info/sct;SNOMED-CT
71241000119100;Family history of malignant hematopoietic neoplasm;http://snomed.info/sct;SNOMED-CT
429965009;Family history of malignant lymphoma;http://snomed.info/sct;SNOMED-CT
427858005;Family history of malignant melanoma;http://snomed.info/sct;SNOMED-CT
428994006;Family history of malignant neoplasm of biliary tract;http://snomed.info/sct;SNOMED-CT
429252007;Family history of malignant neoplasm of bone;http://snomed.info/sct;SNOMED-CT
429251000;Family history of malignant neoplasm of brain;http://snomed.info/sct;SNOMED-CT
767310001;Family history of malignant neoplasm of breast at under age 50 in second degree female relative;http://snomed.info/sct;SNOMED-CT
143451000119105;Family history of malignant neoplasm of breast at under age 50 in second degree relative;http://snomed.info/sct;SNOMED-CT
154141000119104;Family history of malignant neoplasm of breast diagnosed before 45 years of age;http://snomed.info/sct;SNOMED-CT
430292006;Family history of malignant neoplasm of breast in first degree relative;http://snomed.info/sct;SNOMED-CT
143461000119107;Family history of malignant neoplasm of breast in first degree relative less than 50 years of age;http://snomed.info/sct;SNOMED-CT
428047000;Family history of malignant neoplasm of cervix uteri;http://snomed.info/sct;SNOMED-CT
154051000119101;Family history of malignant neoplasm of colon over age 50;http://snomed.info/sct;SNOMED-CT
430813008;Family history of malignant neoplasm of digestive organ;http://snomed.info/sct;SNOMED-CT
154031000119107;Family history of malignant neoplasm of endometrium;http://snomed.info/sct;SNOMED-CT
428935009;Family history of malignant neoplasm of eye proper;http://snomed.info/sct;SNOMED-CT
429006005;Family history of malignant neoplasm of gastrointestinal tract;http://snomed.info/sct;SNOMED-CT
430954001;Family history of malignant neoplasm of genital structure;http://snomed.info/sct;SNOMED-CT
428037003;Family history of malignant neoplasm of ileum;http://snomed.info/sct;SNOMED-CT
430703009;Family history of malignant neoplasm of kidney;http://snomed.info/sct;SNOMED-CT
429236009;Family history of malignant neoplasm of liver;http://snomed.info/sct;SNOMED-CT
429011007;Family history of malignant neoplasm of lung;http://snomed.info/sct;SNOMED-CT
428748002;Family history of malignant neoplasm of male breast;http://snomed.info/sct;SNOMED-CT
430705002;Family history of malignant neoplasm of ovary;http://snomed.info/sct;SNOMED-CT
2301000119106;Family history of malignant neoplasm of ovary in first degree relative;http://snomed.info/sct;SNOMED-CT
2291000119105;Family history of malignant neoplasm of ovary in second degree relative;http://snomed.info/sct;SNOMED-CT
429000004;Family history of malignant neoplasm of pancreas;http://snomed.info/sct;SNOMED-CT
430298005;Family history of malignant neoplasm of pharynx;http://snomed.info/sct;SNOMED-CT
429405004;Family history of malignant neoplasm of skin;http://snomed.info/sct;SNOMED-CT
430527008;Family history of malignant neoplasm of testis;http://snomed.info/sct;SNOMED-CT
430677003;Family history of malignant neoplasm of thoracic cavity structure;http://snomed.info/sct;SNOMED-CT
430534005;Family history of malignant neoplasm of thyroid;http://snomed.info/sct;SNOMED-CT
428269004;Family history of malignant neoplasm of trachea;http://snomed.info/sct;SNOMED-CT
71221000119106;Family history of malignant neoplasm of ureter;http://snomed.info/sct;SNOMED-CT
71231000119109;Family history of malignant neoplasm of urethra;http://snomed.info/sct;SNOMED-CT
430542006;Family history of malignant neoplasm of urinary bladder;http://snomed.info/sct;SNOMED-CT
788921007;Family history of malignant neoplasm of urinary tract;http://snomed.info/sct;SNOMED-CT
429637009;Family history of malignant neoplasm of uterus;http://snomed.info/sct;SNOMED-CT
428276009;Family history of malignant neoplasm of vagina;http://snomed.info/sct;SNOMED-CT
64181000119106;Family history of Marfan syndrome;http://snomed.info/sct;SNOMED-CT
430754009;Family history of mastoiditis;http://snomed.info/sct;SNOMED-CT
